la_code,la_name,RGN15CD,RGN15NM,emp_rate,di_prop,do_prop,di_rank,do_rank,top_1_rank,measure_a,gi_prop,go_prop,aand_prop,grow_business_prop,degree_prop,gi_rank,go_rank,aand_rank,grow_business_rank,degree_rank,measure_b,pub_2014,priv_2014,skill_high,est_pop,est_pop_prop,under_16,under_16_prop,persons_16_64,persons_16_64_prop,persons_65,persons_65_prop,births,deaths,births_minus_deaths,internal_migration_inflow,internal_migration_outflow,internal_migration_net,international_migration_inflow,international_migration_outflow,international_migration_net,male_life_expectancy_at_birth,female_life_expectancy_at_birth,male_life_expectancy_at_age_65,female_life_expectancy_at_age_65
E06000001,Hartlepool,E12000001,North East,64.2,16.1,33.1,48,40,39,11.2,58.6,22.3,4.3,40,14.8,299,350,116,271,344,72.8,24.1,75.9,20.3,92493,0.15,17586,19,57604,62.3,17303,18.7,1021,1102,-81,2137,2281,-144,248,135,113,77.7,81.7,17.6,20.3
E06000002,Middlesbrough,E12000001,North East,63.5,9.6,28.3,242,161,62,40.9,63.8,26.7,6.5,34.1,18.9,206,231,39,371,284,59.7,32.5,67.5,19.5,139509,0.22,28635,20.5,88789,63.6,22085,15.8,1953,1488,465,6184,7071,-887,1250,450,800,76.2,79.8,17,18.9
E06000003,Redcar and Cleveland,E12000001,North East,67.7,16,34.4,49,25,101,15.4,56.9,30.9,5.1,35.3,18.5,329,107,74,363,290,61.4,16.8,83.2,21.4,135275,0.21,24201,17.9,81853,60.5,29221,21.6,1469,1549,-80,4214,4019,195,202,109,93,78.6,82.1,18.3,20.7
E06000004,Stockton-on-Tees,E12000001,North East,73.6,12.9,30.1,140,110,146,34.8,62.3,28.9,5.4,40.9,21.6,231,156,63,230,240,48.5,16.8,83.2,28.2,194803,0.31,38132,19.6,122849,63.1,33822,17.4,2361,1874,487,6442,6659,-217,994,557,437,78.4,82.3,18.3,20.6
E06000005,Darlington,E12000001,North East,72.5,12.3,30,160,111,231,44.2,68.2,25.5,3,48.3,20.5,107,283,252,15,253,48,23.5,76.5,23.8,105389,0.17,20060,19,64814,61.5,20515,19.5,1234,1135,99,3743,3779,-36,347,407,-60,78.2,82.2,18.2,20.5
E06000006,Halton,E12000002,North West,75.3,14.4,32.4,88,52,143,24.9,61.1,22.5,5.5,38.5,14.3,258,345,61,315,352,70.2,13.9,86.1,16.5,126528,0.2,25195,19.9,79794,63.1,21539,17,1542,1240,302,3470,3646,-176,249,217,32,77.3,80.5,17.2,18.9
E06000007,Warrington,E12000002,North West,78,9.4,23.2,247,302,274,72.4,70.1,31.4,4.7,44,31.3,71,97,90,109,87,24,14.7,85.3,30.5,207695,0.33,39523,19,131296,63.2,36876,17.8,2350,2000,350,7127,6650,477,1175,722,453,78.6,81.7,17.8,20
E06000008,Blackburn with Darwen,E12000002,North West,64.8,17.9,30.2,27,106,77,18.5,61.4,26.1,4.4,42.2,17.5,252,256,107,174,307,57.8,26.6,73.4,21,146846,0.23,34141,23.2,91844,62.5,20861,14.2,2159,1277,882,4754,5631,-877,778,673,105,76.7,81.1,17.3,19.6
E06000009,Blackpool,E12000002,North West,72.1,13.6,33.9,109,32,91,20.4,63.8,28.7,2.9,37.4,14.1,206,164,264,344,354,70.3,30.8,69.2,17.8,139578,0.22,25364,18.2,85767,61.4,28447,20.4,1778,1954,-176,7480,8241,-761,565,561,4,74.7,79.9,16.8,19.4
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,66.9,15.2,33.9,66,32,173,23.8,58.2,24.2,3.8,39.8,15.4,304,314,164,282,339,74,19.4,80.6,18.9,258995,0.41,49970,19.3,170881,66,38144,14.7,3501,2628,873,8715,9815,-1100,2718,1467,1251,76.6,80.5,16.8,19.2
